id,body,picture,actor,module,type,time,likes
1,Me and my bestie taking a selfie together<3,bestieselfielove.jpeg,ella_vaderrr,cyberbullying,neutral ,-2:01,
2,My siblings are so cuteeeeeee,cutesiblings.jpg,Claire.cuddlybear,cyberbullying,neutral ,-0:16,
4,"No one likes you. Why do you come to school? @<a href=""https://test.learnlove.life/user/DylanCrazzzzzy"">Dylan Goldstein</a>",blackbkg.jpg,ella_vaderrr,cyberbullying,negative,-1:15,
5,Dylan smells like he didn't shower for a week,ewww.jpg,goaliegirl,cyberbullying,negative,-1:01,
7,I don't want to go to school anymore. Everybody hates me.,heartbroken.jpg,DylanCrazzzzzy,cyberbullying,negative,-0:42,
8,Just got back from church with my best friend,churchbestfriends.jpg,morning-tea-and-books,cyberbullying,neutral ,-1:39,
9,So excited for winter break!,winterbreak.jpg,arihearts,cyberbullying,neutral ,-1:36,
10,great nite with my boys!!!!! haha Carter looks stupid in this pic ,sillypic.jpg,cool.kid5386,cyberbullying,neutral ,-1:33,
11,omg lollll look at Dylan’s sketchbook he’s such a nerdddd,dylansketchbook.jpeg,memeking,cyberbullying,negative,-1:59,
12,my math teacher is SO NOT CHILL,teacheremoji.jpg,neenz03,cyberbullying,neutral ,-1:27,
13,back of the bus crewwwwwww only losers sit in the front ahhah,backofthebus.jpg,ryguy76,cyberbullying,negative,-1:24,
14,had such a fun day at the beach! ,sunsetbeach.jpg,unicornsparkle,cyberbullying,neutral ,-1:21,
15,"You looks so dumb in this pic @<a href=""https://test.learnlove.life/user/aaahhh"">Aidan Acosta</a>",groupphoto.jpg,goaliegirl,cyberbullying,negative,-1:18,
17,My dog is sooo cute!!!,cute_dog.jpg,arihearts,cyberbullying,neutral ,-1:12,
20,What a cool picture of our theater! Anyone want to go to the movies tomorrow? :D,coolmovies.jpeg,DylanCrazzzzzy,cyberbullying,neutral ,-1:03,
22,Turning 12 🎉,birthdaypic.jpg,dannyboii,cyberbullying,neutral ,-0:57,
24,reading harry potter for the millionth time :),harrypotter.jpg,morning-tea-and-books,cyberbullying,neutral,-0:51,
26,who wants to hang today???,cool.png,bffz986,cyberbullying,neutral,-0:45,
27,we hangin listening to tay swift,tswift.jpg,sassystar75,cyberbullying,neutral,-0:42,
28,so bored ;) :P,bored.jpg,sassystar75,cyberbullying,neutral,-0:39,
29,Guys should I start a YouTube channel?,youtube.jpg,vkemp02,cyberbullying,neutral,-0:36,
30,Be yourself,beyourself.jpg,jasmine_1110,cyberbullying,neutral,-0:33,
31,I love California 💖 ,casunset.jpg,neenz03,cyberbullying,neutral,-0:30,
32,can't wait for Christmas this year ,christmas.jpg,ella_vaderrr,cyberbullying,neutral,-0:27,
34,Demi Lovato is my #wcw,demilovato.jpg,sammi_bautistaxx,cyberbullying,neutral,-0:21,
35,Football season is almost over...,footballseason.jpg,jake_is_awesome15,cyberbullying,neutral,-0:18,
36,Heading to Disneyland this weekend. Soooooo excited!!,disneyland.jpg,dyliegirlll,cyberbullying,neutral,-0:15,
38,yankee game!!!!!! GO YANKS,yankees.jpg,soccergirl16,cyberbullying,neutral,-0:09,
39,after the rain...,u5p2.jpg,kilani244,cyberbullying,neutral,-0:06,
104,"""We dance for hopes... we create the dreams"" -Einstein",u3p2.jpeg,cloe.htt,presentation,neutral,-2:01,
105,#summer #rain,u4p1.jpg,habbey113,presentation,neutral,-1:57,
107,beach life,u5p1.jpg,kilani244,presentation,neutral,-1:54,
109,spending the last days of summer here...,u6p1.jpeg,ellis_06,presentation,neutral,-1:51,
211,YUMMM got to go with Dad to Costco today 🌶🍎🍐🍕🌭🍟🥙,reciept.jpg,rosie_pris,presentation,bad,-1:48,
159,#TBT with the boys,boyspic.jpg,asherballer,presentation,neutral,-1:45,
111,escpaing the city for a bit,u7p1.jpg,l.wakefield17,presentation,neutral,-1:42,
114,getting back into drawing. plz reply w/ critiques (i'm thick-skinned i swear),orange_drawing.jpeg,kitty.z,presentation,neutral,-1:39,
115,ayyy lmao snuck into my bro's LAN party,LAN_Party.jpg,frank-the-best,presentation,neutral,-1:36,
117,lemme try to fry an egg on the sidewalk,egg_on_sidewalk.jpeg,aaahhh,presentation,neutral,-1:33,
123,#internationaldanceday,ballet.jpg,triple-threat,presentation,neutral,-1:27,
124,the usual,starbucks.jpg,m-beckett,presentation,neutral,-1:24,
110,Oceana,u6p2.jpeg,ellis_06,presentation,neutral,-1:21,
125,doggo,Puppy.jpg,ethan-the-man,presentation,neutral,-1:18,
176,Missing summer 🌞,missingsummer.jpg,mel_williams1314,presentation,neutral,-1:15,
136,Family weekend at the beach:) #thankful,post36.jpg,yrollam_htims,presentation,neutral,-1:12,
198,Dad let me borrow his card for the mall. Shopping anyone?,card.jpg,cool.kid5386,presentation,bad,-1:09,
137,experimenting... #sparkle #makeup #pretty,post37.jpg,unicornsparkle,presentation,neutral,-1:06,
138,peek-a-boo #cats #catsofinstagram,post38.jpg,princess_lindss,presentation,neutral,-1:03,
139,home made mac and cheese....mmmmm,post39.jpg,king_corey,presentation,neutral,-1:01,
199,"321 Jefferson Ave come hang out guys, I'm bored.",house.jpg,jasmine_1110,presentation,bad,-0:57,
141,got super bored in class today... :p,post41.jpg,itsmelucy,presentation,neutral,-0:54,
142,#mondaypunday your welcome,post42.jpg,beachmoreworryless,presentation,neutral,-0:51,
143,shoutout to these girls! <3 ya!,post43.jpg,goaliegirl,presentation,neutral,-0:48,
106,Visiting university!,u4p2.jpg,habbey113,presentation,neutral,-0:45,
144,maggie you did so good today #proud #bff,post44.jpg,im_musicool,presentation,neutral,-0:42,
205,Thanks for buying me these limited-edition shoes! Feeling blessed ❤️,shoes.jpg,vkemp02,presentation,bad,-0:39,
145,all mine. don't touch. ,post45.jpg,memeking,presentation,neutral,-0:36,
151,ugh school,post50.jpg,candyqueen67,presentation,neutral,-0:33,
154,#TBT hockey prac ,post54.jpg,Nick_Thomas,presentation,neutral,-0:30,
156,starbucks with my girls!!!! ,starbucks.jpg,dyliegirlll,presentation,neutral,-0:27,
157,beach with my family.  love them ,beach.jpg,soccergirl16,presentation,neutral,-0:24,
200,She's always dumb like this 🙄,texting.jpg,mel_williams1314,presentation,bad,-0:21,
112,Stroll through Battery,u7p2.JPG,l.wakefield17,presentation,neutral,-0:18,
193,"if you didnt know, I take selfies a lot ",littlegirlselfie.jpg,dyliegirlll,presentation,neutral,-0:15,
162,movies w/ the boys ,movies.jpg,asherballer,presentation,neutral,-0:12,
210,"OMG I am so annoyed at my mom. I just can't believe she won't let me go to Jessica's house later. Jess, don't have too much fun without me :(",friends.jpg,jake_is_awesome15,presentation,bad,-0:09,
166,got a pet budgie! Isn’t he SO CUTE!?! 😍 You guys have any name ideas,budgie.jpg,emememily,presentation,neutral,-0:06,
