id,body,actor,reply,time,module
149,love ya too!! ❤️,cloe.htt,1,-1:50,cyberbullying
4,Lol it's true!! I don't want to see him at school anymore ,triple-threat,4,-0:24,cyberbullying
152,Dylan you definitely belong at school don't listen to her!,bey-hive-4eva,4,-0:06,cyberbullying
6,ewwwwwwww,dyliegirllll,5,-0:09,cyberbullying
7,I feel you bro. He's the worst deskmate,asherballer,5,-0:05,cyberbullying
153,ugh what ???,bball_guy,5,-0:48,cyberbullying
218,lol what a loser,ella_vaderrr,11,-0:30,cyberbullying
219,Cartoons are for babies!,goaliegirl,11,-0:19,cyberbullying
163,luv the beach,yrollam_htims,14,-1:05,cyberbullying
164,it was such a nice day yesterday 😍,Claire.cuddlybear,14,-0:54,cyberbullying
165,so funny that I ran into you LOL,DylanCrazzzzzy,14,-0:32,cyberbullying
15,No one wants to hang out with you :P,ella_vaderrr,20,-0:21,cyberbullying
16,Yeah^^ why don't you just go by yourself xD,memeking,20,-0:15,cyberbullying
175,MY FAVORITE 👌,jlp777,24,-0:33,cyberbullying
176,wish I could! miss you 😍,mel_williams1314,26,-0:26,cyberbullying
177,Aah! I wanna go to her concert so bad,itsmelucy,27,-0:32,cyberbullying
178,Love her new album 😍,unicornsparkle,27,-0:25,cyberbullying
179,awesome playlist 🤟🏼,beachmoreworryless,27,-0:22,cyberbullying
180,Digging the mysterious look 🤣,dannyboii,28,-0:35,cyberbullying
181,Awww so cute!,slimebygabby,28,-0:19,cyberbullying
184,could not agree more!,neenz03,30,-0:23,cyberbullying
185,dreaming all day ☁️,bffz986,30,-0:18,cyberbullying
186,SAY NO MORE,hannahleee_23,30,-0:13,cyberbullying
187,such a dream 😍,vkemp02,31,-0:26,cyberbullying
188,west coast best coast hands down,jeremymurr,31,-0:25,cyberbullying
189,already making your christmas wish list??,zachpeters06,32,-0:22,cyberbullying
190,Can't wait for all the presents to come!,jasmine_1110,32,-0:20,cyberbullying
191,Omg such pretty lights,slimebygabby,32,-0:12,cyberbullying
194,she's amazing omg 😍,mel_williams1314,34,-0:11,cyberbullying
195,Definitely my idol!! ,QueenOfDarkness,34,-0:08,cyberbullying
196,Who doesn't like demi?? 💕,rosie_pris,34,-0:03,cyberbullying
